iter	Passed	Remaining
0	84	84557
1	122	61202
2	159	53147
3	198	49407
4	227	45316
5	255	42276
6	291	41387
7	334	41453
8	376	41433
9	397	39388
10	436	39282
11	489	40268
12	558	42436
13	612	43111
14	689	45255
15	709	43662
16	773	44736
17	819	44703
18	869	44899
19	923	45262
20	983	45848
21	1039	46210
22	1099	46695
23	1143	46499
24	1201	46851
25	1260	47220
26	1305	47036
27	1356	47079
28	1422	47636
29	1480	47855
30	1533	47932
31	1580	47808
32	1650	48361
33	1704	48418
34	1771	48848
35	1830	49024
36	1880	48951
37	1927	48795
38	1974	48642
39	2017	48428
40	2072	48465
41	2112	48174
42	2157	48015
43	2196	47728
44	2242	47593
45	2315	48030
46	2380	48269
47	2454	48671
48	2533	49167
49	2599	49393
50	2669	49674
51	2719	49584
52	2764	49401
53	2832	49615
54	2880	49499
55	2937	49525
56	2994	49545
57	3090	50189
58	3157	50355
59	3224	50521
60	3324	51179
61	3385	51225
62	3446	51257
63	3489	51035
64	3530	50790
65	3571	50540
66	3614	50335
67	3668	50286
68	3713	50106
69	3755	49897
70	3806	49800
71	3853	49670
72	3902	49557
73	3954	49485
74	3996	49289
75	4032	49028
76	4062	48702
77	4105	48533
78	4144	48320
79	4186	48142
80	4237	48073
81	4270	47810
82	4307	47585
83	4350	47441
84	4389	47248
85	4431	47098
86	4474	46958
87	4530	46952
88	4572	46802
89	4609	46603
90	4647	46425
91	4686	46249
92	4721	46045
93	4758	45863
94	4792	45653
95	4820	45392
96	4852	45172
97	4882	44940
98	4909	44681
99	4943	44488
100	4977	44307
101	5017	44170
102	5073	44187
103	5103	43971
104	5133	43756
105	5166	43574
106	5201	43412
107	5238	43263
108	5273	43107
109	5310	42965
110	5346	42819
111	5375	42616
112	5401	42403
113	5432	42223
114	5463	42042
115	5496	41886
116	5526	41711
117	5555	41524
118	5584	41346
119	5614	41170
120	5643	40999
121	5670	40809
122	5697	40620
123	5726	40454
124	5764	40350
125	5795	40200
126	5822	40023
127	5850	39856
128	5880	39706
129	5910	39552
130	5939	39403
131	5971	39268
132	6002	39130
133	6032	38984
134	6065	38863
135	6093	38712
136	6117	38535
137	6145	38389
138	6174	38245
139	6204	38113
140	6239	38014
141	6269	37880
142	6299	37750
143	6305	37484
